id,sepal lengthCm,sepal widthCm,petallengthCm,petal widthCm,species
134,5.6,2.2,5,1.9,Rubus bifrons × ursinus [unnamed hybrid]
634,5.5,4.2,2.5,0.2,Cocculus diversifolius DC.
943,7.4,3.8,6.5,2,Yucca baileyi Wooton & Standl. var. baileyi
471,4.5,4.1,5.4,1.1,Paspalum praecox Walter
19,7.1,3.1,1.4,0.9,Castilleja chlorotica Piper
560,6.9,3.4,5.3,2,Guilleminea densa (Humb. & Bonpl. ex Schult.) Moq.
971,7.1,3.1,4,2,Chaenothecopsis Vain.
306,4.3,4.2,3.5,0.1,Melicope cruciata (A. Heller) T.G. Hartley & B.C. Stone
924,5,2.5,6.3,0.2,Hybanthus attenuatus (Humb. & Bonpl. ex Schult.) Schulze-Menz
549,4.4,3.6,3,1.7,Senna lindheimeriana (Scheele) Irwin & Barneby
604,7.9,2.7,6,1.1,Ficus sycomorus L.
922,7.4,3.3,1.6,1.3,Urochloa fusca (Sw.) B.F. Hansen & Wunderlin
43,7.6,3.5,3.7,1.3,Brunfelsia L.
606,5.3,4.2,1.2,1.4,Collinsia bartsiifolia Benth. var. davidsonii (Parish) Newsom
204,4,3.8,6.3,0.8,Dissanthelium Trin.
23,6.4,3.6,5.3,0.6,Perideridia bolanderi (A. Gray) A. Nelson & J.F. Macbr. ssp. bolanderi
360,6.2,2.9,4.4,0.3,Gyroweisia Schimp.
232,4.1,4.1,1.8,0.6,Citharexylum caudatum L.
360,7.7,2.4,5.1,2,Aspicilia leprosescens (Sandst.) Hav.
718,4.9,2.7,5.9,2.3,Phacelia heterophylla Pursh ssp. heterophylla
893,5.5,3.4,6.1,1.8,Machaeranthera carnosa (A. Gray) G.L. Nesom var. intricata (A. Gray) G.L. Nesom
933,7.5,3.3,1.8,2.4,Carex schweinitzii Dewey ex Schwein.
121,5.4,2.1,1.4,2.2,Eriogonum tiehmii Reveal
609,6.8,4.1,2.5,0.9,Acacia omalophylla A. Cunn. ex Benth.
95,6.5,2.1,5.1,1.1,Lysiloma candidum Brandegee
998,4.6,4,4.3,1,Chenopodium humile Hook.
287,6.2,3.7,4.7,2,Epilobium hornemannii Rchb. ssp. hornemannii
177,5,4,4.1,1.1,Sedum oblanceolatum R.T. Clausen
749,4.2,3.5,2.1,1,Embothrium coccineum J.R. Forst. & G. Forst.
722,6.5,2.8,6.4,1.5,Clematis coactilis (Fernald) Keener
118,5.6,3.4,3.6,1.2,Dichanthelium sabulorum (Lam.) Gould & C.A. Clark var. thinium (Hitchc. & Chase) Gould & C.A. Clark
248,4.8,3.1,4.3,1.6,Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. speciosa
344,4.7,3.4,3.8,1.2,Capparis L.
971,5.9,3.9,1.7,0.3,Ipomoea amnicola Morong
950,7.7,3.5,2.8,2.3,Achyranthes aspera L.
866,7,3.4,2.5,1.1,Gaura L.
878,6.5,4.1,5.4,1.7,Sphaeralcea fendleri A. Gray
414,5.6,4.1,2.6,2.5,Arthrorhaphis citrinella (Ach.) Poelt
431,5.9,4.3,1.2,1.4,Sophora stenophylla A. Gray
641,6.4,3.2,5.4,0.3,Stellaria dicranoides (Cham. & Schltdl.) Fenzl
57,5.2,4,3,0.4,Delphinium nuttallii A. Gray ssp. nuttallii
521,7.9,2.5,3.1,1.2,Hesperaloe parviflora (Torr.) J.M. Coult. var. parviflora
70,4.9,3.2,1.8,0.7,Haplostachys haplostachya (A. Gray) H. St. John
958,6.9,3.8,3.6,1.2,Prunus subcordata Benth. var. rubicunda Jeps.
474,5.8,2.8,6.5,1.6,Rhynchosia reticulata (Sw.) DC.
111,6.3,3.3,3.4,0.8,Penstemon triflorus A. Heller
387,4.4,4.3,6.3,1.8,Dicerandra linearifolia (Elliott) Benth. var. linearifolia
434,5,3.7,3.1,2.1,Ruellia corzoi Tharp & F.A. Barkley
623,6,2.5,4.1,2.3,Melia L.
876,5.3,2.4,2,1.2,Carex turbinata Liebm.
828,5.9,4.3,6.4,0.3,Gymnocarpium Newman
380,7.4,2.1,2.7,1.3,Calystegia spithamaea (L.) Pursh
403,5.4,2.3,3.1,1,Halimium (Dunal) Spach
467,7.4,2.8,4.9,1.2,Poa nemoralis L. ssp. interior (Rydb.) W.A. Weber
861,4.7,3.9,4.8,1,Cuscuta tuberculata Brandegee
456,4.3,3.2,6,0.2,Carex thornei Naczi
435,5.3,3.2,4.7,1.5,Populus ×jackii Sarg.
471,6.8,3.6,5.7,2.2,Clematis occidentalis (Hornem.) DC. var. dissecta (C.L. Hitchc.) J. Pringle
849,4.8,4.4,6.4,0.6,Meconella californica Torr. & Frém.
481,6,3.5,2.9,1,Pteris irregularis Kaulf.
353,4.4,3.2,6.1,1.1,Erigeron eximius Greene
408,4.4,3.4,2.6,1.2,Merremia umbellata (L.) Hallier f.
858,6.6,2.1,3.8,1.9,Ranunculus ambigens S. Watson
611,7.2,3.5,4.9,0.4,Olsynium douglasii (A. Dietr.) E.P. Bicknell
726,7.8,4.1,5.3,2.3,Acarospora americana H. Magn.
60,4.9,3.9,1.6,0.3,Trichostomopsis Cardot
871,4.9,2.6,3.5,0.3,Plantago sparsiflora Michx.
482,5.2,4.2,4.9,1,Pohlia annotina (Hedw.) Lindb.
539,7.8,3,3.3,1.5,Chrysosplenium wrightii Franch. & Savigny
427,5.1,3.9,3.9,0.8,Websteria confervoides (Poir.) S. Hooper
882,7.7,2.6,4.1,1.4,Chaptalia nutans (L.) Polak.
710,6.7,4,6.6,1.4,Opuntia engelmannii Salm-Dyck ex Engelm. var. cuija Griffiths & Hare
277,6.3,3.3,1.8,0.5,Leptogium fusisporum (Tuck.) C.W. Dodge
947,7.6,4.4,6.8,1.3,Digitaria villosa (Walter) Pers.
964,6.7,4.1,1.2,1,Sanguisorba canadensis L.
6,4.3,3.4,4.7,1.5,Spermacoce prostrata Aubl.
751,4.9,4.3,1.7,2.2,Guettarda L.
714,6.1,3.9,5.3,1.2,Lilaea Bonpl.
21,6.4,2.8,1.7,0.2,Arum L.
10,4.8,4.3,6.7,0.8,Pycnothelia papillaria Ehrh.) L.M. Dufour
476,7.2,3.2,2,1.3,Viguiera dentata (Cav.) Spreng. var. lancifolia S.F. Blake
475,5.7,4.1,1.5,2.5,Eriogonum aliquantum Reveal
127,7.9,4.3,1.3,1.7,Platismatia glauca (L.) W.L. Culb. & C.F. Culb.
869,4.2,2.1,1.4,1.9,Iris virginica L.
981,5.3,4.1,5.9,0.2,Calochortus leichtlinii Hook. f.
225,7.2,4.2,4.7,0.9,Abronia nana S. Watson var. harrisii S.L. Welsh
208,5,3.2,2.1,2,Vicia sativa L. ssp. sativa
532,7.1,3.7,1,0.9,Xanthoria fallax (Hepp) Arnold
406,6.3,3.1,2.9,1.9,Heuchera richardsonii R. Br.
138,6.8,2.6,5.7,0.7,Clibadium L.
789,4.1,4.2,6.5,0.6,Artemisia papposa S.F. Blake & Cronquist
112,4.1,3.2,1.1,1.7,Silphium integrifolium Michx. var. neglectum Settle & T.R. Fisher
599,5.1,4.2,4.8,1,Chlorocrambe Rydb.
515,6,2.9,5,2.2,Delphinium geyeri Greene
290,6.9,2.6,6.2,1.3,Vicia americana Muhl. ex Willd. ssp. americana
313,5.4,4.3,2.2,2.5,Telfairia occidentalis Hook. f.
521,5.3,4,5.5,2.4,Arthothelium albovirescens (Nyl.) Fink
297,7.1,2.1,4,1.9,Trifolium scutatum Boiss.
656,5.5,2.1,3.1,1,Oenothera falfurriae W. Dietr. & W.L. Wagner
353,5.4,3.4,6,1.9,Argemone ochroleuca Sweet
791,4.5,2.6,1.3,2,Cyperus flavidus Retz.
954,6.5,4.2,3.6,0.4,Stenogyne calycosa Sherff
389,7.8,3.8,2.5,0.2,Euonymus japonicus Thunb.
585,5.8,4.1,3.3,2.2,Synthyris reniformis (Douglas ex Benth.) Benth. var. cordata A. Gray
833,4.9,2.3,5.7,0.8,Salvia chapmanii A. Gray
688,6.3,3.1,5.8,1.3,Agalinis gattingeri (Small) Small
526,7.7,3.2,2.9,1.5,Camellia sinensis (L.) Kuntze var. assamica (J. Masters) Kitam.
380,7.1,4.1,5.3,1.3,Lupinus ruber A. Heller
993,4,3.4,4,2.4,Bidens forbesii Sherff
398,6.5,3.3,1,2.2,Brassica oleracea L. var. gongylodes L.
825,6.6,2.1,1.9,2.3,Corallorhiza odontorhiza (Willd.) Poir. var. pringlei (Greenm.) Freudenstein
127,5.9,4.3,2.4,2.4,Scutellaria integrifolia L.
764,7.1,3.4,5.1,0.4,Galium mexicanum Kunth ssp. flexicum Dempster
298,4.6,2.8,6,2.2,Liatris elegans (Walter) Michx. var. kralii Mayfield
101,4.5,3,1.6,2.3,Listera auriculata Wiegand
145,6.8,2.8,1.4,0.7,Brassica parachinensis L.H. Bailey
976,7,3.1,2.3,1.4,Pellaea glabella Mett. ex Kuhn
892,4.8,3.2,6.2,2.1,Croton lindheimerianus Scheele var. tharpii M.C. Johnst.
172,5.4,2.5,5,1.1,Pontederia L.
64,7.3,2.5,5.8,2.2,Cyrtomnium hymenophylloides (Hüb.) Nyholm ex T. Kop.
282,4.1,3.3,2.1,1.8,Lathyrus holochlorus (Piper) C.L. Hitchc.
258,4.9,2.9,1.6,2.2,Psorothamnus spinosus (A. Gray) Barneby
637,7,2.9,4.9,0.3,Eryngium aquaticum L. var. ravenelii (A. Gray) Mathias & Constance
786,5.6,3.1,6.3,1.7,Senecio eremophilus Richardson
882,4.5,4.1,1.6,1.5,Polygonum davisiae W.H. Brewer ex A. Gray
353,5.6,2.1,3.5,0.4,Hosta Tratt.
999,6,4.3,5.5,0.3,Dioscorea altissima Lam.
117,7.8,3.3,3.8,1.1,Solidago nemoralis Aiton var. nemoralis
858,4,2.3,4.1,2,Astragalus oophorus S. Watson var. lonchocalyx Barneby
704,5.2,3.5,2.2,0.8,Blechnum insularum Morton & Lellinger
72,7.4,4.2,4,1.4,Gaura mckelveyae (Munz) P.H. Raven & Gregory
816,4.1,2.2,5.6,0.9,Costus woodsonii Maas
604,7.6,3.5,4.9,0.3,Lesquerella hemiphysaria Maguire var. lucens S.L. Welsh & Reveal
690,4.5,3.1,4.9,2.3,Opuntia valida Griffiths
713,5.4,3.8,5.5,1.7,Centaurium pulchellum (Sw.) Druce
715,6.9,3.1,3.5,1.9,Didymodon revolutus (Cardot) R.S. Williams
278,7.1,2.3,2.7,1.1,Lomatium idahoense Mathias & Constance
132,6.1,2.7,6.2,0.7,Eriogonum cinereum Benth.
404,6.5,4,1.4,0.3,Lecanora applegatei Herre
962,7.4,2.7,4.2,0.2,Gaillardia multiceps Greene var. microcephala B.L. Turner
292,7.1,3.9,1.4,1.3,Pectis angustifolia Torr. var. tenella (DC.) Keil
912,5.8,3.2,5.5,1,Crumia latifolia (Kindb.) Schof.
388,4.6,3.1,6.3,2.2,Eriogonum nudum Douglas ex Benth. var. auriculatum (Benth.) Tracy ex Jeps.
512,5.7,4,5.5,1.5,Cuscuta europaea L.
266,4.3,4.3,6.8,1.7,Dianthus carthusianorum L.
587,5.4,3.1,5.7,0.2,Pedicularis attollens A. Gray ssp. attollens
707,7.4,3.5,3.1,1,Cupressus sempervirens L.
137,6.1,3.4,1.5,0.2,Viola chamissoniana Gingins
326,7.8,2.6,3.9,1.7,Viola brittoniana Pollard
594,5.8,2.1,6.3,0.3,Arthothelium distendens (Nyl.) Müll. Arg.
999,7.9,3.9,3.1,1,Galium muricatum W. Wight
894,5.3,4,4.6,2.1,Micarea lignaria (Ach.) Hedl.
43,4.2,3.2,3.1,2.5,Physaria newberryi A. Gray var. racemosa Rollins
47,6.1,2.1,6.3,0.7,Carex projecta Mack.
356,6.3,2.2,6.1,0.9,Bromus ciliatus L.
993,6.5,2.3,6.7,0.8,Sideroxylon foetidissimum Jacq.
190,4.1,4.3,6,1,Pannaria rubiginosa (Ach.) Bory
948,4.8,2.9,6.1,1.6,Elaphoglossum longifolium (C. Presl) J. Sm.
547,6.1,2.5,1.5,2.4,Phacelia ciliata Benth. var. ciliata
750,5.3,3.5,1.8,1,Centrosema molle Mart. ex Benth.
432,6.3,2.9,5.4,2.5,Cuscuta ceanothi Behr
229,4,3.2,6.8,1.2,Cyanea hirtella (H. Mann) Hillebr.
360,7.5,3.7,4.5,0.7,Lecidea katahdinensis Degel.
800,7,2.9,4.5,1.3,Camissonia boothii (Douglas ex Lehm.) P.H. Raven ssp. alyssoides (Hook. & Arn.) P.H. Raven
96,5.9,2.8,6.5,0.5,Kalmia microphylla (Hook.) A. Heller
702,7.6,4.3,2.2,1.2,Pertusaria rhexostoma Nyl.
24,5.3,3.9,3.4,2.2,Bacidia subincompta (Nyl.) Arnold
759,6.1,3.4,2,1.9,Sicyos lasiocephalus Skottsb.
694,6.8,2.9,2.8,2.4,Cercocarpus montanus Raf.
55,6,2.8,2.1,2.3,Erigeron poliospermus A. Gray
737,7.1,2.1,5.5,0.2,Bidens sandvicensis Less. ssp. sandvicensis
210,5.2,3.5,2.5,2,Lupinus pratensis A. Heller var. eriostachyus C.P. Sm.
598,5.5,2.6,5.5,1.5,Gutierrezia sphaerocephala A. Gray
101,4.7,2.3,6.3,1.4,Trapeliopsis Hertel & Gotth. Schneid.
192,5.2,2.7,2.9,0.4,Achillea L.
281,7.8,3.8,3.8,1.4,Diodia radula Cham. & Schltdl.
952,7.5,3.6,2.3,0.3,Pentas lanceolata (Forssk.) Deflers
372,5.9,2.1,2.9,1.8,Cola verticillata (Thonn.) Stapf ex A. Chev.
579,5.1,3.4,5.9,2.3,Grammitis hookeri (Brack.) Copeland
930,7.7,4,2.3,0.7,Polygonum alpinum All.
462,6.3,2.8,3.8,1.5,Hyeronima Allemao
278,4.3,2.8,4.6,0.8,Megalospora tuberculosa (Fée) Sipman
685,7.6,4.2,2.9,1.1,Oxytropis splendens Douglas ex Hook.
719,6.8,3.6,3,2.1,Astragalus obcordatus Elliott
799,6.5,3.5,1.1,1.6,Lemna trisulca L.
750,7.2,4.4,3.8,0.6,Acer glabrum Torr. var. greenei Keller
547,4.4,3,2.8,1.1,Ilex volkensiana (Loes.) Kanehira & Hatusima
257,4.9,2.8,1.8,0.5,Palafoxia texana DC. var. texana
727,5,3.9,1.9,1.6,Ivesia sabulosa (M.E. Jones) D.D. Keck
653,5,3.2,3.1,0.9,Romanzoffia thompsonii Marttala
320,7.2,2.8,4.8,2.1,Placopsis (Nyl.) Lindsay
493,4.5,4,5.2,1.9,Chaenactis carphoclinia A. Gray var. carphoclinia
820,7.7,3.9,6.3,0.6,Campanula trachelium L.
198,5.2,3.7,6.8,1.7,Nephrolepis falcata (Cav.) C. Chr.
504,4.8,3.1,3.4,2,Melampyrum lineare Desr. var. lineare
362,6.1,4.3,1.1,2.1,Pyrenopsis compacta Willey
394,6.9,2.7,1.5,1.9,Chamaesyce geyeri (Engelm. & A. Gray) Small
390,7.1,3.1,3.8,0.3,Tetraneuris Greene
898,5.7,4.3,4.9,1.7,Hylocomiastrum Fleisch.
661,5.3,2.5,5.8,2.3,Baptisia ×microphylla Nutt. (pro sp.)
786,4.4,3.6,1.8,0.2,Potentilla pulcherrima Lehm.
811,4.3,3.6,2.2,1,Ledum groenlandicum Oeder
648,7,4.3,1.1,0.9,Geum L.
62,5.6,3.3,3.9,1.8,Calamagrostis lapponica (Wahlenb.) Hartm.
685,4.7,2.7,2.8,2,Palafoxia Lag.
361,7,3.9,4.5,1,Xyris panacea L.C. Anderson & Kral
400,4.2,3.5,3.6,0.7,Abutilon hypoleucum A. Gray
911,5.4,3.6,2.2,0.4,Echinocereus pseudopectinatus (N.P. Taylor) N.P. Taylor
94,4.8,3.8,4.9,2.1,Groutiella tomentosa (Hornsch.) Wijk & Margad.
461,4.3,3.9,2.3,2.3,Thermopsis montana Nutt. var. hitchcockii (Isely) M. Mendenhall
418,6.3,3.4,4.9,0.6,Eleutherococcus pentaphyllus (Siebold & Zucc.) Nakai
716,4.2,4.1,6.5,1.8,Umbilicaria aprina Nyl.
982,5.2,2.2,1.1,0.4,Crataegus vulsa Beadle
275,5.9,3.9,6.2,2,Bryum muehlenbeckii Bruch & Schimp.
649,6.2,2.5,1.6,0.5,Rhododendron canadense (L.) Torr.
574,6.6,2.1,3.8,1.4,Chamaerops L.
285,7.5,2.3,5.4,0.5,Chamaesyce deltoidea (Engelm. ex Chapm.) Small
110,5.4,2.6,3.5,1.1,Grindelia lanceolata Nutt. var. texana (Scheele) Shinners
38,4.3,3.4,1.2,1.9,Phlox caespitosa Nutt.
186,7.2,2.2,4.3,1.4,Pholistoma auritum (Lindl.) Lilja var. auritum
490,6.8,2.4,1.8,1.8,Epidendrum ciliare L.
170,6.9,2,4.9,1.8,Spiraea thunbergii Siebold ex Blume
484,5,2.4,3.7,0.6,Pterocarpus officinalis Jacq.
768,4.3,3.4,2.3,0.7,Acalypha radians Torr.
852,6.7,2.1,1.3,1.2,Silphium asteriscus L. var. angustatum A. Gray
461,7.1,4.1,5.9,1.1,Fritillaria pinetorum Davidson
13,7,2.6,2.9,1.6,Bolboschoenus glaucus (Lam.) S.G. Sm.
980,4.7,2.5,2.7,1,Platystemon Benth.
107,7,3.6,5.5,2.4,Horkeliella congdonis (Rydb.) Rydb.
613,5.4,4.2,1.2,1.9,Agastache cana (Hook.) Wooton & Standl.
97,4.7,4.1,2.5,0.5,Ancistrachne uncinulata (R. Br.) S.T. Blake
882,5.5,3.6,1.1,0.7,Astragalus crassicarpus Nutt. var. trichocalyx (Nutt.) Barneby
468,4.1,4,4.4,0.9,"Artemisia tridentata Nutt. ssp. ×bonnevillensis H. Garrison, L. Schultz, & E.D. McArthur"
911,6.8,2.8,4.8,0.6,Oryza sativa L.
978,4.8,2.9,2.4,1.5,Phyllanthus L.
901,6.4,2.6,4.1,1.8,Ribes nevadense Kellogg var. jaegeri A. Berger
82,5,4,5.1,0.2,Symphyotrichum turbinellum (Lindl.) G.L. Nesom
655,6.8,4.3,2.3,0.9,Tinantia Scheidw.
97,7.5,4.3,6.2,1.2,Angadenia berteroi (A. DC.) Miers
382,4.7,3.3,3.3,1,Brigantiaea fuscolutea (Dicks.) R. Sant.
439,6.2,2.3,1.3,2.1,Thelypteris hildae Proctor
136,7,3.7,4.6,2.5,Graphis poitaeoides Nyl.
80,7.8,2.1,5.6,0.2,Erigeron pulcherrimus A. Heller
403,4.9,3.8,6.6,1.4,Aristida purpurascens Poir. var. tenuispica (Hitchc.) Allred
129,6,3.7,6.5,0.8,Lolium ×hybridum Hausskn.
668,5.1,2.7,6.7,1.7,Lycianthes (Dunal) Hassler
324,6.7,3.9,4.5,2.5,Aristida purpurascens Poir. var. purpurascens
209,7.7,3.3,5,1,Thermopsis rhombifolia (Nutt. ex Pursh) Nutt. ex Richardson
766,5,3,4.5,1,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. munzii (Parish) Pierce & Fosberg
55,7.4,2.9,3.1,0.4,Liatris microcephala (Small) K. Schum.
44,7.2,4.1,2.6,1.1,Porophyllum scoparium A. Gray
302,5.3,4.4,5.6,1.5,Ranunculus harveyi (A. Gray) Britton
319,7,2.9,1,1,Euphorbia esula L. var. uralensis (Fisch. ex Link) Dorn
236,6.2,4.3,5.3,0.1,Echinochloa muricata (P. Beauv.) Fernald
406,7.4,3.7,2.3,0.9,Lappula Moench
589,5.6,2.5,1.1,0.6,Parmelia Ach.
604,7.7,2.7,1.5,0.5,Dicranum elongatum Schleich. ex Schwägr.
394,5.8,3.3,1.8,0.6,Plantago aristata Michx.
157,6.3,3.8,2.2,1,Lipochaeta waimeaensis H. St. John
957,5.4,3.7,2.3,0.6,Alternanthera maritima (Mart.) A. St.-Hil.
979,5.8,2.5,6.3,1.8,Astragalus linifolius Osterh.
177,4.6,3.6,6.9,2,Tortula bartramii Steere
